CampaignID,CampaignName,PlatformID,CampaignTypeID,IndustryID,CampaignObjective,StartDate,EndDate,CampaignDuration,Status,Budget,Cost,Revenue,Profit,ROI,ROAS,Impressions,Reach,Clicks,CTR,CPC,CPM,Conversions,ConversionRate,TargetAudience,DeviceTarget,Region,IsViral,IsLossMaking
CAM000001,Sharable bifurcated algorithm,7,4,8,Conversion,2026-07-25,2026-09-08,45,Paused,5951.83,11838.67,16020.15,4181.48,35.32,1.35,228376,41470,2208,0.00967,5.36,51.84,105,0.04755,B2C,Mobile,Europe,False,True
CAM000002,User-centric even-keeled encryption,7,3,1,Brand Awareness,2024-08-26,2024-09-25,30,Completed,41395.07,80904.76,227681.94,146777.18,181.42,2.81,1167373,231056,14337,0.01228,5.64,69.3,856,0.05971,B2C,All,Asia-Pacific,False,False
CAM000003,Face-to-face client-driven support,5,2,7,Brand Awareness,2025-02-15,2025-04-16,60,Completed,36687.3,42366.41,113159.68,70793.26,167.1,2.67,2309992,540536,35783,0.01549,1.18,18.34,2479,0.06928,B2C,Desktop,Europe,False,False
CAM000004,Customer-focused systematic support,4,6,5,Lead Generation,2025-09-02,2025-10-17,45,Active,12229.16,12009.99,6840.65,-5169.34,-30.0,0.57,435290,213863,4266,0.0098,2.82,27.59,177,0.04149,B2C,Desktop,Global,False,True
CAM000005,Quality-focused background parallelism,4,4,7,Conversion,2026-04-08,2026-07-07,90,Completed,1424.74,3517.2,1365.63,-2151.57,-30.0,0.39,68025,18460,1239,0.01822,2.84,51.7,55,0.04439,B2C,Mobile,Europe,False,True
CAM000006,Optimized 5thgeneration algorithm,3,4,7,Retention,2026-08-14,2026-09-13,30,Active,33248.73,52380.6,162396.58,110015.98,210.03,3.1,1661411,554311,30247,0.01821,1.73,31.53,1675,0.05538,B2C,All,North America,False,False
CAM000007,Cross-group didactic emulation,6,1,3,Conversion,2024-09-27,2024-10-27,30,Paused,18340.81,7489.45,19065.47,11576.02,154.56,2.55,523158,63494,7842,0.01499,0.96,14.32,460,0.05866,B2C,Mobile,Europe,False,False
CAM000008,Profit-focused real-time algorithm,4,3,1,Conversion,2025-09-27,2025-12-26,90,Completed,16618.74,61844.63,187142.79,125298.16,202.6,3.03,777599,419514,16040,0.02063,3.86,79.53,1073,0.0669,B2C,All,North America,False,False
CAM000009,Realigned dedicated structure,2,3,2,Brand Awareness,2025-05-02,2025-07-01,60,Paused,13419.79,44028.28,125919.71,81891.43,186.0,2.86,809050,530533,24702,0.03053,1.78,54.42,1424,0.05765,B2C,All,North America,False,False
CAM000010,Streamlined tangible moratorium,5,4,6,Lead Generation,2024-10-28,2024-12-12,45,Completed,50083.5,128158.87,340064.63,211905.76,165.35,2.65,4845682,1170946,90680,0.01871,1.41,26.45,4924,0.0543,B2C,Mobile,Global,False,False
CAM000011,Operative directional knowledge user,7,5,6,Lead Generation,2025-05-20,2025-07-04,45,Active,2663.87,2780.71,6509.67,3728.96,134.1,2.34,97574,11070,617,0.00633,4.51,28.5,26,0.04214,B2C,All,Global,False,False
CAM000012,Reverse-engineered even-keeled workforce,4,3,4,Brand Awareness,2026-07-04,2026-08-03,30,Completed,22679.19,98540.21,303208.05,204667.83,207.7,3.08,1494956,368835,25514,0.01707,3.86,65.92,1082,0.04241,B2C,All,Europe,False,False
CAM000013,Adaptive well-modulated workforce,3,4,2,Retention,2025-11-16,2026-01-15,60,Completed,19506.17,44387.53,127927.95,83540.41,188.21,2.88,1442035,456602,29644,0.02056,1.5,30.78,1548,0.05222,B2C,Mobile,North America,False,False
CAM000014,Diverse tangible interface,3,5,4,Conversion,2025-12-16,2026-02-14,60,Completed,34826.56,63963.4,171656.6,107693.21,168.37,2.68,1951214,989111,34178,0.01752,1.87,32.78,1860,0.05442,B2C,All,Europe,False,False
CAM000015,Mandatory even-keeled collaboration,2,3,7,Brand Awareness,2025-07-25,2025-08-24,30,Draft,60095.96,134171.47,434451.1,300279.62,223.8,3.24,3214563,1071367,73909,0.02299,1.82,41.74,4501,0.0609,B2B,Mobile,North America,False,False
CAM000016,Extended well-modulated Graphical User Interface,7,1,5,Brand Awareness,2024-10-09,2024-11-08,30,Paused,27046.71,57343.22,127156.21,69813.0,121.75,2.22,1297812,326969,11930,0.00919,4.81,44.18,727,0.06094,B2B,All,Europe,False,False
CAM000017,Customer-focused background implementation,5,1,6,Brand Awareness,2025-03-16,2025-04-15,30,Completed,2125.27,2362.5,6693.65,4331.14,183.33,2.83,90524,45836,1996,0.02206,1.18,26.1,142,0.07114,B2C,All,Europe,False,False
CAM000018,Cross-platform heuristic hardware,7,2,10,Lead Generation,2024-11-30,2025-02-28,90,Active,32673.75,66566.81,188379.06,121812.25,182.99,2.83,1203588,430003,13338,0.01108,4.99,55.31,930,0.06973,B2C,All,Europe,False,False
CAM000019,Robust empowering workforce,7,2,3,Lead Generation,2026-07-04,2026-08-18,45,Completed,18446.05,36005.28,89913.33,53908.06,149.72,2.5,638700,159110,6967,0.01091,5.17,56.37,458,0.06574,B2B,All,Europe,False,False
CAM000020,Balanced upward-trending knowledgebase,4,2,2,Conversion,2026-06-29,2026-08-13,45,Active,48584.25,97925.48,269561.18,171635.7,175.27,2.75,1827679,962834,32915,0.01801,2.98,53.58,1754,0.05329,B2B,All,Latin America,False,False
CAM000021,Public-key bottom-line implementation,3,4,2,Retention,2026-03-24,2026-05-08,45,Completed,23576.32,34559.73,101618.71,67058.98,194.04,2.94,1025871,832017,21024,0.02049,1.64,33.69,835,0.03972,B2C,Desktop,Global,False,False
CAM000022,Configurable neutral frame,5,1,1,Lead Generation,2024-11-08,2025-01-07,60,Completed,3956.14,4680.69,13636.1,8955.41,191.33,2.91,209808,102128,3382,0.01612,1.38,22.31,210,0.06209,B2B,All,North America,False,False
CAM000023,Self-enabling regional hierarchy,5,6,4,Brand Awareness,2025-02-12,2025-03-14,30,Active,2128.37,2850.25,7864.96,5014.71,175.94,2.76,163701,81231,1872,0.01144,1.52,17.41,72,0.03846,B2B,All,Latin America,False,False
CAM000024,Re-engineered content-based strategy,5,6,3,Brand Awareness,2024-09-24,2024-10-24,30,Completed,29640.46,14144.91,43879.8,29734.88,210.22,3.1,1634820,531190,11288,0.00691,1.25,8.65,368,0.0326,B2C,Desktop,North America,False,False
CAM000025,Cloned 6thgeneration protocol,7,5,1,Retention,2024-11-19,2025-01-03,45,Completed,45933.94,47766.76,115143.28,67376.53,141.05,2.41,1680983,649829,10817,0.00644,4.42,28.42,540,0.04992,B2C,All,Europe,False,False
CAM000026,Focused zero administration frame,3,3,5,Conversion,2025-09-26,2025-10-26,30,Completed,5415.9,10341.04,9692.32,-648.72,-6.27,0.94,283618,13341,6879,0.02426,1.5,36.46,377,0.0548,B2C,Mobile,North America,False,True
CAM000027,Configurable discrete attitude,7,4,9,Conversion,2024-10-23,2024-12-07,45,Paused,2950.81,2276.76,5243.52,2966.76,130.31,2.3,60865,22059,461,0.00759,4.94,37.41,22,0.04772,B2C,Mobile,Latin America,False,False
CAM000028,Multi-tiered even-keeled knowledgebase,6,5,1,Lead Generation,2026-06-22,2026-07-22,30,Completed,20369.62,6719.87,17098.28,10378.41,154.44,2.54,767416,171512,9246,0.01205,0.73,8.76,243,0.02628,B2B,All,Europe,False,False
