CustomerID,Age,Gender,Education,IncomeLevel,Region,DeviceType,CustomerSegment,AcquisitionChannel,CustomerTenureDays,CustomerLifetimeValue,LoyaltyScore,TotalPurchases
CUST00001,46,Male,Associate,Medium,North America,Desktop,Platinum,Paid Search,80,71718.27,42.8,9
CUST00002,37,Female,High School,Medium,North America,Mobile,Bronze,Email,359,2988.06,33.3,1
CUST00003,39,Female,Bachelor,Low,North America,Mobile,Platinum,Social Media,149,29153.59,66.4,11
CUST00004,35,Female,Master,High,Europe,Tablet,Platinum,Social Media,705,11454.83,55.0,9
CUST00005,34,Male,Master,Medium-Low,Asia-Pacific,Desktop,Gold,Direct,795,23682.1,73.6,6
CUST00006,32,Female,Master,Medium,Europe,Desktop,Bronze,Email,45,329.86,32.2,2
CUST00007,44,Male,High School,High,North America,Mobile,Silver,Display Ads,651,6152.77,43.1,5
CUST00008,35,Female,Master,Medium-Low,North America,Mobile,Bronze,Organic Search,1095,3131.34,52.6,2
CUST00009,42,Male,Associate,High,North America,Desktop,Platinum,Email,109,8139.48,40.1,8
CUST00010,34,Female,Bachelor,Medium-High,Asia-Pacific,Desktop,Silver,Email,357,3343.98,77.4,0
CUST00011,27,Female,Bachelor,Medium,Middle East,Mobile,Bronze,Organic Search,679,6645.88,68.9,1
CUST00012,31,Female,Bachelor,Low,North America,Mobile,Gold,Direct,70,32353.43,92.9,2
CUST00013,35,Female,Bachelor,Medium-High,North America,Desktop,Bronze,Social Media,756,1849.2,76.0,1
CUST00014,41,Male,PhD,Medium,Europe,Desktop,Bronze,Paid Search,271,5436.78,43.7,2
CUST00015,32,Male,PhD,Medium,Europe,Tablet,Bronze,Display Ads,761,5983.13,52.2,1
CUST00016,29,Female,High School,High,Asia-Pacific,Tablet,Gold,Social Media,477,34923.2,79.2,14
CUST00017,35,Female,Associate,Low,Europe,Mobile,Silver,Social Media,295,4631.96,83.9,2
CUST00018,33,Female,Bachelor,Low,Asia-Pacific,Tablet,Silver,Email,231,13446.32,35.5,3
CUST00019,31,Female,Master,Medium,Asia-Pacific,Mobile,Bronze,Display Ads,217,3685.22,47.3,2
CUST00020,40,Male,Master,Medium-Low,Asia-Pacific,Mobile,Bronze,Social Media,227,200.0,57.9,2
CUST00021,45,Female,Associate,Medium,North America,Desktop,Gold,Social Media,196,18641.55,75.0,8
CUST00022,37,Female,High School,Low,North America,Desktop,Bronze,Social Media,477,3202.78,74.0,4
CUST00023,42,Male,Master,Medium-High,North America,Tablet,Platinum,Referral,43,38732.99,93.2,11
CUST00024,47,Male,High School,Medium,Latin America,Mobile,Platinum,Organic Search,138,109226.14,53.0,13
CUST00025,42,Male,Bachelor,Medium-High,Europe,Desktop,Platinum,Organic Search,385,17025.99,37.1,13
CUST00026,39,Male,Bachelor,Low,Latin America,Tablet,Platinum,Display Ads,600,23788.35,69.1,10
CUST00027,35,Male,High School,Medium-Low,North America,Desktop,Silver,Direct,134,6265.14,90.8,2
CUST00028,36,Female,Bachelor,High,Middle East,Mobile,Bronze,Email,475,4747.61,61.8,3
CUST00029,42,Female,Associate,Medium-Low,North America,Mobile,Platinum,Organic Search,672,43230.16,77.9,13
CUST00030,45,Female,High School,Medium,North America,Mobile,Platinum,Direct,214,69359.04,49.1,15
CUST00031,41,Female,Bachelor,Medium,North America,Desktop,Bronze,Paid Search,293,2220.89,84.1,4
CUST00032,42,Male,High School,Medium,North America,Mobile,Bronze,Email,171,8526.51,66.0,5
CUST00033,38,Male,Bachelor,High,Middle East,Mobile,Gold,Organic Search,55,7039.1,39.0,4
CUST00034,33,Male,High School,Medium-High,North America,Mobile,Gold,Social Media,92,24769.83,55.5,5
CUST00035,36,Male,Associate,Medium-High,Latin America,Desktop,Platinum,Social Media,385,17691.07,55.8,11
CUST00036,37,Female,Bachelor,Low,North America,Mobile,Bronze,Email,8,4745.6,52.5,1
CUST00037,30,Female,Master,Medium-Low,Asia-Pacific,Mobile,Gold,Social Media,226,77047.75,38.9,8
CUST00038,31,Male,Associate,Medium-Low,Latin America,Mobile,Bronze,Email,802,3421.09,87.2,1
CUST00039,42,Female,Bachelor,Medium-High,North America,Desktop,Platinum,Social Media,111,13656.19,38.0,12
CUST00040,50,Male,Bachelor,Medium,North America,Mobile,Bronze,Display Ads,457,1014.6,83.2,2
CUST00041,47,Female,PhD,Medium,North America,Desktop,Platinum,Display Ads,60,54911.2,85.7,8
CUST00042,40,Male,Master,Medium-Low,Europe,Desktop,Gold,Organic Search,550,43665.61,65.2,9
CUST00043,36,Female,Bachelor,Medium-Low,Latin America,Desktop,Gold,Social Media,13,6870.24,69.9,7
CUST00044,38,Female,Bachelor,Medium-High,Asia-Pacific,Mobile,Bronze,Organic Search,247,1643.46,96.3,1
CUST00045,44,Male,Master,Medium,Middle East,Desktop,Silver,Paid Search,343,9624.06,72.5,5
CUST00046,43,Female,Bachelor,High,North America,Mobile,Platinum,Direct,308,52799.78,94.4,9
CUST00047,29,Male,Bachelor,Medium-High,North America,Mobile,Gold,Email,347,29367.65,74.3,4
CUST00048,34,Female,High School,Medium,Asia-Pacific,Mobile,Bronze,Referral,27,7081.3,84.3,2
CUST00049,29,Male,Associate,Medium,Latin America,Tablet,Silver,Organic Search,10,10736.98,40.9,2
CUST00050,34,Male,Bachelor,Medium-Low,North America,Mobile,Bronze,Social Media,202,4102.72,76.8,1
CUST00051,35,Male,Associate,Medium-High,North America,Mobile,Bronze,Email,167,7452.91,48.2,2
CUST00052,23,Male,PhD,Medium,Asia-Pacific,Mobile,Silver,Referral,221,21042.91,31.6,4
