Date,CampaignID,DailySpend,DailyImpressions,DailyClicks,DailyConversions,DailyRevenue
2024-09-20,CAM003725,723.6,17704,180,8,1878.01
2024-09-21,CAM003725,820.36,20071,205,13,2129.14
2024-09-22,CAM003725,687.71,16826,171,8,1784.88
2024-09-23,CAM003725,898.51,21983,224,13,2331.97
2024-09-24,CAM003725,596.45,14593,149,8,1548.02
2024-09-25,CAM003725,597.18,14611,149,6,1549.9
2024-09-26,CAM003725,687.65,16824,171,5,1784.72
2024-09-27,CAM003725,464.01,11353,116,5,1204.29
2024-09-28,CAM003725,588.54,14399,147,7,1527.47
2024-09-29,CAM003725,601.0,14704,150,5,1559.83
2024-09-30,CAM003725,878.33,21490,219,10,2279.6
2024-10-01,CAM003725,697.28,17060,174,6,1809.71
2024-10-02,CAM003725,616.96,15095,154,7,1601.25
2024-10-03,CAM003725,546.47,13370,136,7,1418.31
2024-10-04,CAM003725,610.06,14926,152,7,1583.34
2024-10-05,CAM003725,670.92,16415,167,12,1741.3
2024-10-06,CAM003725,754.68,18464,188,7,1958.68
2024-10-07,CAM003725,810.94,19841,202,7,2104.7
2024-10-08,CAM003725,717.27,17549,179,6,1861.6
2024-10-09,CAM003725,527.45,12905,131,6,1368.92
2024-10-10,CAM003725,797.42,19510,199,10,2069.6
2024-10-11,CAM003725,672.2,16446,168,7,1744.61
2024-10-12,CAM003725,563.01,13775,140,6,1461.21
2024-10-13,CAM003725,690.12,16885,172,10,1791.13
2024-10-14,CAM003725,736.87,18028,184,6,1912.45
2024-10-15,CAM003725,733.99,17958,183,8,1904.99
2024-10-16,CAM003725,600.82,14700,150,8,1559.36
2024-10-17,CAM003725,845.46,20685,211,12,2194.3
2024-10-18,CAM003725,581.63,14230,145,6,1509.56
2024-10-19,CAM003725,808.55,19782,202,12,2098.5
2024-10-20,CAM003725,687.57,16822,171,8,1784.5
2024-10-21,CAM003725,551.38,13490,137,5,1431.03
2024-10-22,CAM003725,809.32,19801,202,13,2100.48
2024-10-23,CAM003725,678.09,16590,169,10,1759.9
2024-10-24,CAM003725,739.53,18094,184,8,1919.35
2024-10-25,CAM003725,739.49,18093,184,12,1919.26
2024-10-26,CAM003725,751.32,18382,187,12,1949.96
2024-10-27,CAM003725,448.11,10964,112,6,1163.02
2024-10-28,CAM003725,700.01,17127,175,8,1816.79
2024-10-29,CAM003725,700.67,17143,175,5,1818.5
2024-10-30,CAM003725,658.36,16108,164,8,1708.69
