PurchaseID,CustomerID,CampaignID,PurchaseDate,PurchaseAmount,DiscountApplied,NetAmount,PaymentMethod,PurchaseStatus,ProfitMargin
PUR000001,CUST01885,CAM009514,2025-03-28,1901.53,0.22,1483.19,PayPal,Completed,0.38
PUR000002,CUST04697,CAM000010,2024-11-11,557.71,0.24,423.86,Debit Card,Completed,0.25
PUR000003,CUST02575,CAM005914,2026-01-11,266.71,0.24,202.7,Apple Pay,Completed,0.224
PUR000004,CUST03419,CAM004373,2025-04-28,513.73,0.0,513.73,Credit Card,Completed,0.306
PUR000005,CUST01029,CAM005650,2025-07-23,463.6,0.0,463.6,Debit Card,Completed,0.407
PUR000006,CUST01783,CAM002780,2026-02-09,124.69,0.25,93.52,Debit Card,Completed,0.204
PUR000007,CUST00987,CAM007127,2026-05-22,503.45,0.0,503.45,Apple Pay,Completed,0.283
PUR000008,CUST00304,CAM003081,2026-07-14,437.22,0.0,437.22,Debit Card,Cancelled,0.412
PUR000009,CUST03611,CAM002332,2025-02-17,1646.34,0.22,1284.15,Debit Card,Completed,0.427
PUR000010,CUST01237,CAM004082,2026-06-02,417.15,0.0,417.15,Credit Card,Completed,0.255
PUR000011,CUST02088,CAM008833,2024-11-17,643.18,0.16,540.27,Apple Pay,Completed,0.328
PUR000012,CUST02091,CAM002191,2025-02-11,557.67,0.0,557.67,Debit Card,Completed,0.263
PUR000013,CUST01225,CAM006971,2026-01-09,805.46,0.0,805.46,Credit Card,Completed,0.446
PUR000014,CUST01199,CAM006725,2024-08-27,284.99,0.16,239.39,Debit Card,Pending,0.4
PUR000015,CUST00749,CAM005044,2025-09-01,455.62,0.0,455.62,Debit Card,Completed,0.435
PUR000016,CUST01996,CAM005142,2025-02-25,1241.38,0.14,1067.59,Credit Card,Completed,0.404
PUR000017,CUST02788,CAM005261,2024-10-27,1121.25,0.09,1020.34,Apple Pay,Pending,0.395
PUR000018,CUST03204,CAM000843,2026-01-23,590.48,0.03,572.77,Google Pay,Completed,0.276
PUR000019,CUST02437,CAM004457,2025-06-20,384.16,0.19,311.17,PayPal,Completed,0.223
PUR000020,CUST01845,CAM002622,2025-05-04,342.35,0.0,342.35,Debit Card,Completed,0.361
PUR000021,CUST03342,CAM008641,2025-11-12,1140.96,0.0,1140.96,Google Pay,Completed,0.27
PUR000022,CUST04423,CAM007489,2025-06-09,373.93,0.0,373.93,Apple Pay,Completed,0.296
PUR000023,CUST04262,CAM003144,2026-04-16,188.74,0.0,188.74,Credit Card,Completed,0.29
PUR000024,CUST01260,CAM002926,2025-03-14,309.09,0.1,278.18,Apple Pay,Refunded,0.328
PUR000025,CUST02513,CAM007991,2025-10-04,1120.46,0.0,1120.46,Credit Card,Completed,0.31
PUR000026,CUST03360,CAM003251,2024-09-04,382.52,0.08,351.92,Credit Card,Completed,0.392
PUR000027,CUST01065,CAM006227,2025-11-17,520.24,0.0,520.24,PayPal,Cancelled,0.329
PUR000028,CUST01614,CAM007959,2025-10-14,326.21,0.24,247.92,Debit Card,Completed,0.215
PUR000029,CUST04587,CAM004397,2024-11-15,345.1,0.0,345.1,PayPal,Completed,0.262
PUR000030,CUST01780,CAM007592,2026-02-15,1404.37,0.0,1404.37,Debit Card,Completed,0.362
PUR000031,CUST00229,CAM009501,2026-05-10,1439.7,0.0,1439.7,Credit Card,Completed,0.361
PUR000032,CUST00124,CAM005841,2026-03-08,713.45,0.0,713.45,Apple Pay,Pending,0.356
PUR000033,CUST04111,CAM006517,2026-05-25,659.27,0.01,652.68,PayPal,Completed,0.28
PUR000034,CUST04229,CAM000235,2025-12-09,342.14,0.0,342.14,Google Pay,Completed,0.304
PUR000035,CUST04844,CAM005449,2025-03-27,231.59,0.0,231.59,Debit Card,Completed,0.285
PUR000036,CUST04653,CAM008582,2026-08-07,2870.91,0.0,2870.91,Apple Pay,Completed,0.424
PUR000037,CUST01959,CAM000105,2026-01-29,704.8,0.0,704.8,PayPal,Completed,0.312
PUR000038,CUST01461,CAM003257,2026-08-02,427.07,0.0,427.07,Google Pay,Cancelled,0.449
PUR000039,CUST00271,CAM007376,2026-03-29,1652.33,0.0,1652.33,PayPal,Completed,0.405
