SessionID,CustomerID,CampaignID,VisitDateTime,VisitDate,Device,Browser,TrafficSource,SessionDuration,PagesViewed,Bounce,Converted,RevenueGenerated,IsWeekend,IsEngaged
SES000001,CUST04757,CAM003723,2025-04-17 07:20:00,2025-04-17,Mobile,Chrome,Organic,166.33,2,1,0,0.0,0,0
SES000002,CUST02162,CAM005210,2026-07-15 09:27:00,2026-07-15,Tablet,Chrome,Organic,417.47,4,0,1,87.46,0,1
SES000003,CUST04170,CAM006097,2025-02-04 13:16:00,2025-02-04,Mobile,Safari,Paid,68.87,1,0,0,0.0,0,0
SES000004,CUST00218,CAM001940,2025-10-23 20:15:00,2025-10-23,Desktop,Chrome,Social,196.43,2,1,0,0.0,0,0
SES000005,CUST03551,CAM001970,2026-02-23 00:58:00,2026-02-23,Mobile,Chrome,Organic,67.72,1,1,0,0.0,0,0
SES000006,CUST00592,CAM004683,2026-04-07 02:00:00,2026-04-07,Desktop,Chrome,Organic,424.58,4,0,0,0.0,0,1
SES000007,CUST04719,CAM002013,2025-08-31 21:27:00,2025-08-31,Tablet,Firefox,Social,62.42,1,0,0,0.0,1,0
SES000008,CUST04096,CAM004246,2025-09-16 06:05:00,2025-09-16,Mobile,Chrome,Organic,103.55,2,0,0,0.0,0,0
SES000009,CUST00178,CAM002816,2025-04-23 01:01:00,2025-04-23,Mobile,Chrome,Paid,24.73,1,1,0,0.0,0,0
SES000010,CUST02353,CAM008038,2025-07-17 21:10:00,2025-07-17,Desktop,Safari,Organic,95.83,2,0,0,0.0,0,0
SES000011,CUST02591,CAM003952,2026-04-18 17:22:00,2026-04-18,Mobile,Safari,Organic,108.69,4,0,0,0.0,1,1
SES000012,CUST02029,CAM008560,2026-08-10 16:07:00,2026-08-10,Desktop,Safari,Social,65.75,2,0,0,0.0,0,0
SES000013,CUST03721,CAM003639,2025-07-14 16:32:00,2025-07-14,Mobile,Chrome,Social,98.75,4,0,0,0.0,0,1
SES000014,CUST03847,CAM005693,2026-05-27 16:43:00,2026-05-27,Tablet,Edge,Referral,227.27,5,0,0,0.0,0,1
SES000015,CUST03475,CAM009369,2025-10-15 14:21:00,2025-10-15,Mobile,Chrome,Organic,88.15,1,0,0,0.0,0,0
SES000016,CUST00025,CAM000817,2025-02-05 12:19:00,2025-02-05,Desktop,Safari,Direct,112.88,1,0,1,679.65,0,0
SES000017,CUST00149,CAM005896,2025-02-23 10:59:00,2025-02-23,Mobile,Firefox,Organic,305.25,2,0,0,0.0,1,0
SES000018,CUST02169,CAM003966,2025-02-27 22:25:00,2025-02-27,Mobile,Edge,Direct,69.31,1,0,0,0.0,0,0
SES000019,CUST04777,CAM002770,2026-03-23 04:21:00,2026-03-23,Desktop,Chrome,Social,96.66,1,1,0,0.0,0,0
SES000020,CUST02328,CAM003437,2025-12-23 22:57:00,2025-12-23,Desktop,Chrome,Paid,180.44,1,0,1,690.7,0,0
SES000021,CUST02882,CAM009409,2026-01-15 00:32:00,2026-01-15,Desktop,Firefox,Social,248.55,2,0,0,0.0,0,0
SES000022,CUST03405,CAM003832,2026-02-22 18:40:00,2026-02-22,Mobile,Safari,Paid,187.56,3,1,0,0.0,1,0
SES000023,CUST01185,CAM005592,2026-06-09 22:24:00,2026-06-09,Mobile,Chrome,Paid,10.0,1,0,0,0.0,0,0
SES000024,CUST03381,CAM009575,2026-07-18 18:57:00,2026-07-18,Desktop,Chrome,Organic,388.78,3,0,0,0.0,1,1
SES000025,CUST00578,CAM003483,2026-08-11 08:09:00,2026-08-11,Desktop,Firefox,Direct,42.79,1,0,0,0.0,0,0
SES000026,CUST04403,CAM008631,2026-05-26 06:24:00,2026-05-26,Desktop,Chrome,Social,10.71,1,1,0,0.0,0,0
SES000027,CUST03705,CAM005689,2026-04-01 08:38:00,2026-04-01,Desktop,Safari,Referral,42.47,1,0,1,79.72,0,0
SES000028,CUST04966,CAM005240,2025-08-17 03:34:00,2025-08-17,Desktop,Chrome,Organic,94.69,4,0,1,70.39,1,1
SES000029,CUST03230,CAM001688,2025-11-13 17:27:00,2025-11-13,Mobile,Chrome,Organic,78.14,1,1,0,0.0,0,0
SES000030,CUST04600,CAM005793,2025-01-10 23:29:00,2025-01-10,Desktop,Chrome,Organic,382.96,6,0,1,113.14,0,1
SES000031,CUST05000,CAM008133,2026-03-13 22:36:00,2026-03-13,Desktop,Safari,Paid,91.35,1,0,1,96.11,0,0
SES000032,CUST02496,CAM000221,2026-03-14 21:02:00,2026-03-14,Mobile,Firefox,Social,273.32,1,0,0,0.0,1,0
SES000033,CUST00675,CAM002103,2025-11-02 01:17:00,2025-11-02,Mobile,Firefox,Paid,360.92,6,0,0,0.0,1,1
SES000034,CUST01191,CAM006332,2025-04-21 22:54:00,2025-04-21,Desktop,Chrome,Social,258.71,6,1,0,0.0,0,0
SES000035,CUST04477,CAM003537,2025-03-19 12:26:00,2025-03-19,Mobile,Safari,Social,245.03,1,0,0,0.0,0,0
SES000036,CUST03736,CAM004587,2026-06-10 23:50:00,2026-06-10,Desktop,Firefox,Paid,72.47,1,0,1,177.14,0,0
SES000037,CUST01637,CAM002088,2026-06-21 16:12:00,2026-06-21,Desktop,Safari,Direct,80.09,2,1,0,0.0,1,0
SES000038,CUST01780,CAM005683,2026-01-12 00:52:00,2026-01-12,Mobile,Chrome,Organic,98.87,1,0,0,0.0,0,0
SES000039,CUST01995,CAM001112,2025-03-16 03:14:00,2025-03-16,Desktop,Chrome,Organic,253.16,3,0,0,0.0,1,1
